grid_id_consolidated,pub_id
not_in_grid,d35f0b97
grid.418140.8,d35f0b97
grid.116068.8,d35f0b97
grid.116068.8,d35f0b97
grid.264756.4,d35f0b97
NA,d35f0b97
grid.8404.8,d35f0b97
grid.8404.8,d35f0b97
grid.7839.5,d35f0b97
grid.5590.9,d35f0b97
grid.13992.30,d35f0b97
grid.10419.3d,d35f0b97
grid.420089.7,21b0ea00
grid.4711.3,21b0ea00
grid.8348.7,21b0ea00
grid.431093.c,21b0ea00
grid.266093.8,21b0ea00
grid.419522.9,21b0ea00
grid.16416.34,21b0ea00
grid.436943.f,21b0ea00
grid.250671.7,21b0ea00
grid.419396.0,21b0ea00
grid.418140.8,72173339
grid.5842.b,72173339
grid.6390.c,72173339
grid.4444.0,72173339
grid.5842.b,72173339
grid.5252.0,e9d69dcb
grid.262671.6,e9d69dcb
grid.7450.6,7b912221
grid.418140.8,7b912221
grid.7700.0,7b912221
grid.4305.2,7b912221
grid.7450.6,7b912221
grid.7450.6,7c44d9be
grid.5284.b,7c44d9be
grid.214572.7,7c44d9be
grid.214572.7,7c44d9be
grid.214572.7,7c44d9be
grid.411230.5,7c44d9be
grid.440801.9,7c44d9be
grid.5590.9,7c44d9be
grid.5590.9,7c44d9be
grid.5590.9,7c44d9be
grid.5590.9,7c44d9be
grid.5342.0,7c44d9be
grid.418140.8,69445bdc
not_in_grid,69445bdc
grid.411984.1,c9e20164
grid.7737.4,c9e20164
grid.7737.4,c9e20164
not_in_grid,c9e20164
grid.5570.7,c9e20164
grid.1957.a,c9e20164
grid.7450.6,e27dd11b
grid.4562.5,e27dd11b
grid.418140.8,768f13b7
NA,768f13b7
grid.9764.c,bb208d49
grid.7450.6,bb208d49
grid.181790.6,bb208d49
grid.7683.a,bb208d49
grid.24999.3f,bb208d49
grid.7450.6,b69b6fcb
grid.419538.2,b69b6fcb
grid.414033.1,b69b6fcb
grid.440206.4,b69b6fcb
grid.1013.3,b69b6fcb
grid.1013.3,b69b6fcb
grid.1013.3,b69b6fcb
grid.410528.a,b69b6fcb
grid.414054.0,b69b6fcb
grid.411580.9,b69b6fcb
grid.419538.2,b69b6fcb
grid.9619.7,b69b6fcb
grid.6190.e,b69b6fcb
grid.6190.e,b69b6fcb
grid.419352.8,b69b6fcb
grid.420089.7,b69b6fcb
grid.418140.8,d379bb19
grid.6546.1,d379bb19
grid.5842.b,d379bb19
grid.147455.6,d379bb19
grid.10894.34,d379bb19
grid.7892.4,d379bb19
NA,d379bb19
grid.6312.6,d379bb19
grid.418140.8,216b5b6
grid.418140.8,216b5b6
grid.424247.3,216b5b6
grid.470125.5,216b5b6
grid.419522.9,17d1120a
grid.419522.9,17d1120a
grid.411984.1,a5090361
NA,a5090361
grid.14095.39,a0ab6819
grid.6734.6,a0ab6819
grid.418140.8,a0ab6819
NA,7dcc2439
grid.411984.1,7dcc2439
grid.461771.2,a3e24b2c
grid.7450.6,a3e24b2c
grid.418140.8,a3e24b2c
grid.418140.8,a3e24b2c
grid.418140.8,d445a8e1
grid.15447.33,d445a8e1
grid.17091.3e,bcb72924
grid.17091.3e,bcb72924
grid.17091.3e,bcb72924
grid.419522.9,bcb72924
grid.214458.e,bcb72924
grid.214458.e,bcb72924
grid.7450.6,ea0b3056
grid.7450.6,ea0b3056
grid.261331.4,ea0b3056
grid.418227.a,ea0b3056
grid.7450.6,49c483f8
grid.7450.6,49c483f8
